anio;mes;pais_cod;pais_descri;fob
2021;06;101;BURKINA FASO;131750
2022;08;101;BURKINA FASO;28000
2021;08;101;BURKINA FASO;39101
2021;04;101;BURKINA FASO;29380
2022;06;101;BURKINA FASO;4785000
2021;09;101;BURKINA FASO;62220
2022;10;101;BURKINA FASO;941311.11
2021;05;101;BURKINA FASO;91800
2021;07;101;BURKINA FASO;183750
2022;09;101;BURKINA FASO;28000
2021;10;101;BURKINA FASO;1112.5
2022;04;101;BURKINA FASO;4323524.92
2021;11;101;BURKINA FASO;549411.43
2021;05;102;ARGELIA;78780669.11
2022;07;102;ARGELIA;122567913.76
2022;02;102;ARGELIA;159570277.54
2021;11;102;ARGELIA;150552594.6
2021;04;102;ARGELIA;132393219.23
2022;04;102;ARGELIA;191496121.04
2022;10;102;ARGELIA;105359348.24
2021;02;102;ARGELIA;102216671.56
2022;06;102;ARGELIA;88264098.14
2021;03;102;ARGELIA;144716882.6
2022;11;102;ARGELIA;112432277.98
2021;07;102;ARGELIA;131448614.93
2021;10;102;ARGELIA;122481675.92
2022;09;102;ARGELIA;81898377.97
2021;06;102;ARGELIA;127060387.74
2021;09;102;ARGELIA;164155466.01
2022;03;102;ARGELIA;167513602.08
2022;08;102;ARGELIA;103429692.11
2021;08;102;ARGELIA;113129323.08
2022;01;102;ARGELIA;163287257.44
2021;12;102;ARGELIA;115124765.97
2022;05;102;ARGELIA;208229440.04
2021;01;102;ARGELIA;85316719.49
2022;04;103;BOTSWANA;42692
2022;05;104;BURUNDI;1264000
2021;01;104;BURUNDI;738000
2021;11;104;BURUNDI;500000
2021;12;104;BURUNDI;720000
2022;04;104;BURUNDI;3442210
2022;02;104;BURUNDI;3364140
2021;02;105;CAMERUN;5265138.77
2022;07;105;CAMERUN;15089188.32
2022;06;105;CAMERUN;7566093.81
2021;09;105;CAMERUN;3518449.9
2022;04;105;CAMERUN;23476702.02
2022;10;105;CAMERUN;2288696.72
2021;06;105;CAMERUN;3542426.01
2021;10;105;CAMERUN;7261360.02
2022;08;105;CAMERUN;2419832.75
2022;05;105;CAMERUN;21475508.45
2022;03;105;CAMERUN;7249168.5
2021;12;105;CAMERUN;1744493.6
2022;09;105;CAMERUN;4282305.6
2021;04;105;CAMERUN;316705.79
2021;05;105;CAMERUN;5737378.12
2022;01;105;CAMERUN;24448575.33
2022;11;105;CAMERUN;8388631.86
2022;02;105;CAMERUN;11432682.36
2021;08;105;CAMERUN;1392389.5
2021;07;105;CAMERUN;905837.5
2021;03;105;CAMERUN;137757.4
2021;11;105;CAMERUN;6792942.14
2021;01;105;CAMERUN;993074
2022;09;107;REP. CENTROAFRICANA;122349.36
2022;05;107;REP. CENTROAFRICANA;120520
2021;11;107;REP. CENTROAFRICANA;60002.5
2022;04;107;REP. CENTROAFRICANA;28756.25
2021;04;107;REP. CENTROAFRICANA;57505
2022;02;107;REP. CENTROAFRICANA;57512.5
2021;01;107;REP. CENTROAFRICANA;57505
2021;02;107;REP. CENTROAFRICANA;57520
2021;07;107;REP. CENTROAFRICANA;86537.98
2022;07;107;REP. CENTROAFRICANA;122386.6
2022;06;107;REP. CENTROAFRICANA;181322.94
2021;08;107;REP. CENTROAFRICANA;57515
2022;11;107;REP. CENTROAFRICANA;132231.62
2022;03;107;REP. CENTROAFRICANA;86272.5
2022;10;107;REP. CENTROAFRICANA;211374.2
2022;11;108;CONGO;623488.06
2022;01;108;CONGO;5037099.04
2021;04;108;CONGO;650844
2022;08;108;CONGO;538946.08
2022;09;108;CONGO;5758893.48
2022;05;108;CONGO;438002.28
2022;03;108;CONGO;10321368.73
2021;07;108;CONGO;838321.37
2021;06;108;CONGO;475496.1
2022;04;108;CONGO;11979502.45
2021;11;108;CONGO;6957141.96
2021;01;108;CONGO;3437147
2021;05;108;CONGO;1045624.16
2022;02;108;CONGO;16152827.45
2021;03;108;CONGO;711383.96
2021;02;108;CONGO;903346.73
2021;10;108;CONGO;2088896.92
2021;09;108;CONGO;1385046.7
2021;12;108;CONGO;7391089.61
2022;06;108;CONGO;3949684.8
2021;08;108;CONGO;6841472.3
2022;07;108;CONGO;12996566.56
2022;10;108;CONGO;1876794.85
2022;09;109;REP.DEMOCRATICA DEL CONGO(EX ZAIRE);1030714.08
2021;07;109;REP.DEMOCRATICA DEL CONGO(EX ZAIRE);483954.8
2021;05;109;REP.DEMOCRATICA DEL CONGO(EX ZAIRE);417805.22
2021;01;109;REP.DEMOCRATICA DEL CONGO(EX ZAIRE);855945.86
2021;03;109;REP.DEMOCRATICA DEL CONGO(EX ZAIRE);341024
2021;11;109;REP.DEMOCRATICA DEL CONGO(EX ZAIRE);1013394.42
2022;11;109;REP.DEMOCRATICA DEL CONGO(EX ZAIRE);800086.72
2021;06;109;REP.DEMOCRATICA DEL CONGO(EX ZAIRE);215712.7
2022;05;109;REP.DEMOCRATICA DEL CONGO(EX ZAIRE);349683.05
2022;03;109;REP.DEMOCRATICA DEL CONGO(EX ZAIRE);1246909.27
2022;02;109;REP.DEMOCRATICA DEL CONGO(EX ZAIRE);4357572.43
2021;10;109;REP.DEMOCRATICA DEL CONGO(EX ZAIRE);1298325.68
2021;02;109;REP.DEMOCRATICA DEL CONGO(EX ZAIRE);713015.85
2022;04;109;REP.DEMOCRATICA DEL CONGO(EX ZAIRE);14074778
2021;12;109;REP.DEMOCRATICA DEL CONGO(EX ZAIRE);1056410.84
2021;04;109;REP.DEMOCRATICA DEL CONGO(EX ZAIRE);174112
2022;07;109;REP.DEMOCRATICA DEL CONGO(EX ZAIRE);981696.18
2021;08;109;REP.DEMOCRATICA DEL CONGO(EX ZAIRE);508773.7
2021;09;109;REP.DEMOCRATICA DEL CONGO(EX ZAIRE);524810.27
2022;06;109;REP.DEMOCRATICA DEL CONGO(EX ZAIRE);701740.2
2022;10;109;REP.DEMOCRATICA DEL CONGO(EX ZAIRE);1559172.6
2022;01;109;REP.DEMOCRATICA DEL CONGO(EX ZAIRE);1030787.71
2022;08;109;REP.DEMOCRATICA DEL CONGO(EX ZAIRE);795053.39
2022;02;110;Cote d'Ivoire;12726711.9
2022;01;110;Cote d'Ivoire;732579.09
2021;05;110;Cote d'Ivoire;7279539.64
2021;07;110;Cote d'Ivoire;9343265.02
2022;07;110;Cote d'Ivoire;15422114.21
2022;03;110;Cote d'Ivoire;11547472.97
2021;06;110;Cote d'Ivoire;4047385.09
2022;04;110;Cote d'Ivoire;19005671.39
2022;10;110;Cote d'Ivoire;8498104.66
2022;06;110;Cote d'Ivoire;31163018.07
2021;08;110;Cote d'Ivoire;5688448.39
2021;12;110;Cote d'Ivoire;11283590.58
2022;08;110;Cote d'Ivoire;1331991.57
2021;02;110;Cote d'Ivoire;771029.75
2021;11;110;Cote d'Ivoire;16427420.5
2021;03;110;Cote d'Ivoire;20059871.14
2022;05;110;Cote d'Ivoire;23314191.45
2021;01;110;Cote d'Ivoire;2903574.4
2021;09;110;Cote d'Ivoire;12062458.64
2022;11;110;Cote d'Ivoire;7622625.52
2021;10;110;Cote d'Ivoire;13017434.21
2021;04;110;Cote d'Ivoire;15362597.11
2022;09;110;Cote d'Ivoire;1293297.88
2022;10;111;CHAD;254069.69
2022;11;111;CHAD;94387.54
2021;10;112;BENIN;134682
2021;03;112;BENIN;75560.98
2022;01;112;BENIN;379067.61
2021;09;112;BENIN;650870
2022;05;112;BENIN;215963
2022;07;112;BENIN;795129.02
2022;02;112;BENIN;129639.5
2021;04;112;BENIN;363616.61
2021;08;112;BENIN;483654.5
2021;01;112;BENIN;385850.79
2022;03;112;BENIN;464355.57
2022;10;112;BENIN;567172
2021;02;112;BENIN;166072.78
2022;08;112;BENIN;705797.38
2021;11;112;BENIN;31720
2021;07;112;BENIN;569130
2022;06;112;BENIN;259940.55
2021;06;112;BENIN;92626
2022;11;112;BENIN;271048.4
2021;12;112;BENIN;198090.91
2021;05;112;BENIN;280068.58
2022;04;112;BENIN;627977.21
2022;09;112;BENIN;747346.05
2021;09;113;EGIPTO;37951290.28
2021;10;113;EGIPTO;12442659.22
2022;11;113;EGIPTO;25243775.95
2022;03;113;EGIPTO;49797505.95
2021;01;113;EGIPTO;29250391.75
2021;04;113;EGIPTO;314272221.18
2021;12;113;EGIPTO;3331204.33
2021;08;113;EGIPTO;177431600.38
2021;11;113;EGIPTO;86212736.71
2022;01;113;EGIPTO;9055564.25
2021;06;113;EGIPTO;186291482.36
2021;02;113;EGIPTO;106506455.98
2022;05;113;EGIPTO;140702381.73
2022;04;113;EGIPTO;214141464.24
2022;09;113;EGIPTO;84793270.59
2022;07;113;EGIPTO;147877945.73
2022;10;113;EGIPTO;48588456.51
2022;06;113;EGIPTO;97135035.21
2022;02;113;EGIPTO;6410400.02
2021;03;113;EGIPTO;133883965.45
2022;08;113;EGIPTO;67367112.92
2021;07;113;EGIPTO;219892385.74
2021;05;113;EGIPTO;228162745.65
2021;02;115;GABON;450629
2022;05;115;GABON;219322.49
2021;03;115;GABON;336721.7
2022;09;115;GABON;663687.3
2022;07;115;GABON;770784.21
2021;04;115;GABON;46964.9
2021;08;115;GABON;1350205.5
2021;07;115;GABON;500118
2022;02;115;GABON;256610.35
2022;04;115;GABON;187722.13
2021;05;115;GABON;259078.85
2022;08;115;GABON;923688.97
2022;01;115;GABON;217335.6
2022;10;115;GABON;260000
2022;03;115;GABON;709906.04
2021;11;115;GABON;539962.62
2022;11;115;GABON;217370.73
2021;10;115;GABON;879566.24
2021;06;115;GABON;194193
2021;01;115;GABON;596473.57
2021;12;115;GABON;875475.26
2021;09;115;GABON;600032.52
2022;06;115;GABON;333195.95
2022;01;116;GAMBIA;7019727.6
2021;05;116;GAMBIA;121540
2021;09;116;GAMBIA;37704
2021;08;116;GAMBIA;66596.71
2021;07;116;GAMBIA;108087
2021;06;116;GAMBIA;153697.5
2022;10;116;GAMBIA;60240
2022;05;116;GAMBIA;61675
2022;04;116;GAMBIA;3835779.65
2021;04;116;GAMBIA;3015560
2022;02;116;GAMBIA;18200
2022;06;116;GAMBIA;187451
2021;10;116;GAMBIA;72117
2021;03;116;GAMBIA;2731318.24
2022;08;116;GAMBIA;118062.8
2021;11;116;GAMBIA;16163.4
2022;03;116;GAMBIA;6243020
2021;02;116;GAMBIA;3821665.14
2021;01;116;GAMBIA;2903888
2022;07;116;GAMBIA;397388
2022;11;116;GAMBIA;186743.03
2022;04;117;GHANA;7827217.03
2022;10;117;GHANA;8505018.98
2021;07;117;GHANA;1983295.76
2021;04;117;GHANA;6721070.78
2022;08;117;GHANA;1362657.4
2022;02;117;GHANA;24544320.86
2022;03;117;GHANA;10989689.27
2021;09;117;GHANA;15215474.93
2021;03;117;GHANA;7605387.82
2021;06;117;GHANA;5595428.62
2021;01;117;GHANA;6677192.77
2021;11;117;GHANA;17661966.47
2021;12;117;GHANA;1921145.2
2022;07;117;GHANA;3897561.63
2021;05;117;GHANA;2298176.49
2022;05;117;GHANA;14888703.54
2022;11;117;GHANA;10809546.12
2021;08;117;GHANA;7318915.73
2022;01;117;GHANA;17728675.07
2021;10;117;GHANA;10359854.56
2022;09;117;GHANA;1776452.33
2021;02;117;GHANA;6870440.76
2022;06;117;GHANA;19347063.66
2022;09;118;GUINEA;242252
2022;06;118;GUINEA;134019
2022;01;118;GUINEA;5126638.2
2021;06;118;GUINEA;23530
2022;03;118;GUINEA;198868.2
2021;02;118;GUINEA;15735600
2022;10;118;GUINEA;177960
2021;05;118;GUINEA;117080
2021;01;118;GUINEA;14300
2022;08;118;GUINEA;184961.6
2022;05;118;GUINEA;236937
2021;12;118;GUINEA;198190
2021;08;118;GUINEA;153720
2021;03;118;GUINEA;1106605
2022;02;118;GUINEA;117324.8
2022;11;118;GUINEA;310391.21
2021;11;118;GUINEA;172076
2021;09;118;GUINEA;282393.4
2022;07;118;GUINEA;134939
2021;07;118;GUINEA;70103.5
2021;04;118;GUINEA;37800
2022;04;118;GUINEA;344049.99
2021;10;118;GUINEA;211242.25
2022;10;119;GUINEA ECUATORIAL;236872.55
2021;05;119;GUINEA ECUATORIAL;230006.64
2021;12;119;GUINEA ECUATORIAL;177398.6
2022;06;119;GUINEA ECUATORIAL;27440
2021;08;119;GUINEA ECUATORIAL;2001823.18
2021;11;119;GUINEA ECUATORIAL;273467.3
2022;09;119;GUINEA ECUATORIAL;15120
2022;05;119;GUINEA ECUATORIAL;48125
2022;01;119;GUINEA ECUATORIAL;258307
2021;09;119;GUINEA ECUATORIAL;427104.4
2022;02;119;GUINEA ECUATORIAL;120891.68
2021;07;119;GUINEA ECUATORIAL;527139.5
2021;03;119;GUINEA ECUATORIAL;176260
2021;06;119;GUINEA ECUATORIAL;104827.6
2022;11;119;GUINEA ECUATORIAL;108480.24
2022;04;119;GUINEA ECUATORIAL;275547.58
2021;01;119;GUINEA ECUATORIAL;164936
2021;02;119;GUINEA ECUATORIAL;130257
2022;08;119;GUINEA ECUATORIAL;67375
2021;04;119;GUINEA ECUATORIAL;35919
2021;10;119;GUINEA ECUATORIAL;298326.38
2022;07;119;GUINEA ECUATORIAL;590460.47
2022;03;119;GUINEA ECUATORIAL;156266
2022;01;120;KENYA;35468008.81
2021;06;120;KENYA;449873.55
2021;01;120;KENYA;28310224.09
2021;10;120;KENYA;13425510.65
2021;04;120;KENYA;1257868.19
2021;09;120;KENYA;524747.55
2022;09;120;KENYA;1078273.06
2022;07;120;KENYA;1275413.31
2021;11;120;KENYA;26373053.33
2022;05;120;KENYA;6303704.99
2021;03;120;KENYA;8837171.04
2022;08;120;KENYA;938295.73
2022;02;120;KENYA;44096302.3
2021;07;120;KENYA;1861868.98
2021;12;120;KENYA;56859758.22
2022;11;120;KENYA;1177491.98
2022;03;120;KENYA;49699823.17
2022;10;120;KENYA;1941852.1
2021;08;120;KENYA;978777.96
2022;04;120;KENYA;6147291.26
2022;06;120;KENYA;1349634.35
2021;05;120;KENYA;856796.4
2021;02;120;KENYA;8568227.3
2022;01;122;LIBERIA;16422
2022;11;122;LIBERIA;103727.98
2022;09;122;LIBERIA;145557
2022;10;122;LIBERIA;121630.65
2022;04;122;LIBERIA;167354.9
2021;08;122;LIBERIA;64210.04
2021;10;122;LIBERIA;130072
2021;05;122;LIBERIA;189476
2021;11;122;LIBERIA;1955180
2021;12;122;LIBERIA;59081
2022;08;122;LIBERIA;288878.7
2022;05;122;LIBERIA;39627
2022;06;122;LIBERIA;155196.31
2021;01;122;LIBERIA;213057
2022;03;122;LIBERIA;1138579.42
2021;07;122;LIBERIA;263462.86
2022;02;122;LIBERIA;100159
2021;03;122;LIBERIA;109309
2022;07;122;LIBERIA;351945
2021;06;122;LIBERIA;39627
2021;09;122;LIBERIA;65346
2021;02;122;LIBERIA;1720828.1
2021;04;122;LIBERIA;133618.02
2021;11;123;LIBIA;6096331.81
2022;07;123;LIBIA;33616651.82
2021;10;123;LIBIA;669094.31
2022;01;123;LIBIA;1000130.5
2021;07;123;LIBIA;5980974.65
2022;08;123;LIBIA;24187943.26
2022;04;123;LIBIA;15538007.84
2022;11;123;LIBIA;10306941.59
2021;09;123;LIBIA;541586.2
2022;09;123;LIBIA;663285.6
2021;03;123;LIBIA;45642431.23
2022;10;123;LIBIA;14130004.87
2022;02;123;LIBIA;12607433.02
2021;08;123;LIBIA;20175562.13
2021;06;123;LIBIA;19039017.76
2022;06;123;LIBIA;10765834.2
2022;05;123;LIBIA;12667352.22
2021;04;123;LIBIA;632046.26
2021;01;123;LIBIA;857978.23
2022;03;123;LIBIA;10743047.96
2021;12;123;LIBIA;14714163.53
2021;05;123;LIBIA;656427.41
2021;02;123;LIBIA;13870841.47
2021;10;124;MADAGASCAR;6102826.85
2021;08;124;MADAGASCAR;4124313.63
2022;03;124;MADAGASCAR;15721070.44
2022;10;124;MADAGASCAR;4351500.91
2022;08;124;MADAGASCAR;4893395
2021;02;124;MADAGASCAR;8288320
2022;02;124;MADAGASCAR;6895005
2022;01;124;MADAGASCAR;14333713.85
2021;09;124;MADAGASCAR;5746975.44
2022;05;124;MADAGASCAR;9947040
2021;05;124;MADAGASCAR;1748077.5
2022;11;124;MADAGASCAR;7149595.36
2022;04;124;MADAGASCAR;8661507.5
2021;07;124;MADAGASCAR;5990175
2022;06;124;MADAGASCAR;51629.2
2021;11;124;MADAGASCAR;13764683.7
2022;01;125;MALAWI;8719600
2022;04;125;MALAWI;2814000
2021;08;125;MALAWI;81447.2
2021;02;125;MALAWI;260000
2021;01;125;MALAWI;27807.5
2021;05;125;MALAWI;20
2022;09;125;MALAWI;6000
2022;08;125;MALAWI;100288.09
2022;02;125;MALAWI;13743
2022;06;126;MALI;103884.14
2021;05;126;MALI;1756652.59
2022;01;126;MALI;1325249.07
2021;01;126;MALI;953015.5
2022;02;126;MALI;1197000
2021;07;126;MALI;326147.79
2021;02;126;MALI;64787.36
2022;08;126;MALI;167317.53
2021;06;126;MALI;5
2022;05;126;MALI;5473013.3
2021;10;126;MALI;201505.76
2022;03;126;MALI;359126.17
2021;03;126;MALI;2271217.5
2021;08;126;MALI;94166.74
2022;04;126;MALI;5997558.3
2021;11;126;MALI;3284999.25
2021;04;126;MALI;999300.12
2021;09;126;MALI;243625.45
2022;09;126;MALI;616944.39
2022;10;126;MALI;770531.78
2022;11;126;MALI;1342938.5
2021;12;126;MALI;4109059.71
2022;07;126;MALI;318397.34
2021;07;127;MARRUECOS;69855016.85
2022;01;127;MARRUECOS;126293438.27
2021;02;127;MARRUECOS;23261085.21
2022;10;127;MARRUECOS;21701886.21
2022;08;127;MARRUECOS;83264706.42
2021;11;127;MARRUECOS;21510649.68
2022;07;127;MARRUECOS;35428218.71
2021;06;127;MARRUECOS;103780693.71
2022;04;127;MARRUECOS;151540918.94
2022;03;127;MARRUECOS;72233946.32
2021;04;127;MARRUECOS;95305595.64
2021;01;127;MARRUECOS;18083122.58
2021;10;127;MARRUECOS;11128446.39
2021;03;127;MARRUECOS;109399467.53
2021;12;127;MARRUECOS;86124953.97
2022;06;127;MARRUECOS;77153310.86
2022;09;127;MARRUECOS;44159647.91
2021;08;127;MARRUECOS;60583514.44
2022;11;127;MARRUECOS;98679445.31
2022;05;127;MARRUECOS;126552360.91
2021;05;127;MARRUECOS;49475871.87
2022;02;127;MARRUECOS;98907870.1
2021;09;127;MARRUECOS;30765127.54
2021;04;128;MAURICIO;15283323.19
2022;04;128;MAURICIO;15560231
2021;08;128;MAURICIO;7043083.71
2022;10;128;MAURICIO;10481398.21
2021;02;128;MAURICIO;14737.94
2022;03;128;MAURICIO;3637200
2021;09;128;MAURICIO;5105903.52
2021;07;128;MAURICIO;3145183.95
2021;10;128;MAURICIO;4159800.83
2022;06;128;MAURICIO;9163830.21
2022;05;128;MAURICIO;301770
2021;11;128;MAURICIO;5278884.48
2022;02;128;MAURICIO;5325266.28
2022;11;128;MAURICIO;37552.28
2022;01;128;MAURICIO;4560230.2
2022;08;128;MAURICIO;265571.8
2021;12;128;MAURICIO;8346382.29
2021;03;128;MAURICIO;3583620.48
2021;05;128;MAURICIO;549859.5
2022;09;128;MAURICIO;7260717.5
2021;06;128;MAURICIO;5105775
2021;01;128;MAURICIO;8354314.8
2022;07;128;MAURICIO;10888001.5
2022;04;129;MAURITANIA;30533033.45
2022;01;129;MAURITANIA;30792232.06
2021;04;129;MAURITANIA;6023219.73
2021;08;129;MAURITANIA;287581.84
2021;02;129;MAURITANIA;14000
2021;03;129;MAURITANIA;12266564.33
2021;11;129;MAURITANIA;6881489.64
2022;05;129;MAURITANIA;6949800
2022;02;129;MAURITANIA;26605858
2021;01;129;MAURITANIA;7471736.88
2022;03;129;MAURITANIA;15182696.5
2021;10;129;MAURITANIA;1104000
2021;12;129;MAURITANIA;25903939.42
2022;07;129;MAURITANIA;1721.25
2022;10;129;MAURITANIA;949124.09
2022;08;129;MAURITANIA;10000
2022;06;129;MAURITANIA;473118.5
2022;07;130;NIGER;22200
2022;01;130;NIGER;189515
2022;11;130;NIGER;458288.36
2022;04;130;NIGER;522230
2021;09;130;NIGER;31460
2021;11;130;NIGER;1323194
2021;07;130;NIGER;398547
2021;08;130;NIGER;132750
2022;10;130;NIGER;321818.18
2021;10;130;NIGER;31460
2021;12;130;NIGER;256704
2022;09;130;NIGER;1270538.84
2022;03;130;NIGER;556728.94
2021;01;130;NIGER;1784284
2022;05;130;NIGER;251186
2022;02;130;NIGER;940500
2022;08;130;NIGER;437087.5
2021;03;130;NIGER;131110
2022;06;130;NIGER;172872
2021;02;131;NIGERIA;11284583.05
2021;03;131;NIGERIA;10559743.27
2022;01;131;NIGERIA;52409858.11
2022;06;131;NIGERIA;4421383.57
2021;05;131;NIGERIA;25388168.04
2022;09;131;NIGERIA;1433577.97
2022;04;131;NIGERIA;8061553.43
2022;07;131;NIGERIA;33973117.61
2021;08;131;NIGERIA;14065516.84
2021;04;131;NIGERIA;33605295.41
2022;10;131;NIGERIA;2340813.7
2022;11;131;NIGERIA;1094394.88
2021;06;131;NIGERIA;776138.92
2022;05;131;NIGERIA;24118711.71
2021;01;131;NIGERIA;16616790.67
2021;12;131;NIGERIA;12344761.23
2021;07;131;NIGERIA;4187667.23
2022;02;131;NIGERIA;57638203.25
2021;10;131;NIGERIA;993519.32
2022;03;131;NIGERIA;72493487.11
2021;09;131;NIGERIA;28876782.09
2021;11;131;NIGERIA;14886630.91
2022;08;131;NIGERIA;20069703.14
2021;12;132;ZIMBABWE;40
2021;07;132;ZIMBABWE;51387
2021;02;132;ZIMBABWE;2256800
2021;09;132;ZIMBABWE;2960
2022;01;132;ZIMBABWE;19036.5
2022;10;132;ZIMBABWE;96632.16
2022;04;132;ZIMBABWE;2926160
2022;02;132;ZIMBABWE;63579.77
2021;05;133;RWANDA;6278.9
2022;07;133;RWANDA;10884
2022;05;133;RWANDA;2528000
2021;11;133;RWANDA;3000000
2021;12;133;RWANDA;1440000
2022;04;133;RWANDA;8141192.04
2022;02;133;RWANDA;1510000
2022;03;133;RWANDA;2768135.55
2021;01;133;RWANDA;2460000
2021;02;133;RWANDA;1255000
2022;04;134;SENEGAL;36446194.14
2021;05;134;SENEGAL;18406243.71
2021;02;134;SENEGAL;11665932.48
2022;10;134;SENEGAL;3948490.66
2021;06;134;SENEGAL;7440125.85
2022;08;134;SENEGAL;15058516.38
2021;11;134;SENEGAL;18927922.58
2022;06;134;SENEGAL;15341726.87
2021;08;134;SENEGAL;23058998.76
2021;07;134;SENEGAL;8980574.31
2021;04;134;SENEGAL;10981161.05
2021;10;134;SENEGAL;14026334.39
2021;09;134;SENEGAL;15621105.81
2022;11;134;SENEGAL;25334941.23
2021;12;134;SENEGAL;3980465.33
2021;03;134;SENEGAL;21572936.39
2022;05;134;SENEGAL;43618513.05
2022;07;134;SENEGAL;24887460.86
2021;01;134;SENEGAL;3915882.82
2022;02;134;SENEGAL;28808848.82
2022;01;134;SENEGAL;20894647.53
2022;09;134;SENEGAL;4603047.11
2022;03;134;SENEGAL;7354773.15
2021;04;135;SIERRA LEONA;282819.88
2021;10;135;SIERRA LEONA;281256
2022;04;135;SIERRA LEONA;540678
2021;06;135;SIERRA LEONA;194010
2021;01;135;SIERRA LEONA;58480
2021;11;135;SIERRA LEONA;42762.75
2021;03;135;SIERRA LEONA;384526
2022;01;135;SIERRA LEONA;266000
2022;10;135;SIERRA LEONA;260730.32
2021;07;135;SIERRA LEONA;32443.45
2022;07;135;SIERRA LEONA;246402
2021;05;135;SIERRA LEONA;270626.26
2022;09;135;SIERRA LEONA;65915
2021;12;135;SIERRA LEONA;90100
2022;08;135;SIERRA LEONA;42840
2022;02;135;SIERRA LEONA;88293
2021;02;135;SIERRA LEONA;82709
2022;11;135;SIERRA LEONA;160174.16
2022;05;135;SIERRA LEONA;114264.2
2021;08;135;SIERRA LEONA;815667.76
2022;06;136;SOMALIA;97500
2022;01;136;SOMALIA;194945.4
2021;12;136;SOMALIA;93737.5
2021;03;136;SOMALIA;31261.25
2022;07;136;SOMALIA;318313.5
2021;02;136;SOMALIA;60268
2022;03;136;SOMALIA;97524.7
2022;08;136;SOMALIA;102290.88
2021;01;136;SOMALIA;182542.5
2021;11;136;SOMALIA;2664
2021;08;136;SOMALIA;23310
2022;04;136;SOMALIA;97539
2021;10;136;SOMALIA;25184
2021;04;136;SOMALIA;31243.75
2021;07;136;SOMALIA;5550
2021;04;137;SWAZILANDIA;11725
2021;10;137;SWAZILANDIA;5735
2021;01;137;SWAZILANDIA;7375
2022;04;137;SWAZILANDIA;27600
2022;11;137;SWAZILANDIA;17325.05
2022;07;137;SWAZILANDIA;156246.72
2021;05;137;SWAZILANDIA;7175
2021;09;137;SWAZILANDIA;11280
2022;09;137;SWAZILANDIA;67709.42
2021;07;137;SWAZILANDIA;5735
2021;08;137;SWAZILANDIA;87276
2021;06;137;SWAZILANDIA;11470
2021;12;137;SWAZILANDIA;8565
2021;01;139;TANZANIA;3715030
2021;04;139;TANZANIA;7784.52
2022;04;139;TANZANIA;25164012.16
2022;03;139;TANZANIA;11226107.48
2021;05;139;TANZANIA;588.16
2021;02;139;TANZANIA;15410760.08
2021;10;139;TANZANIA;104528
2021;03;139;TANZANIA;122850.54
2022;10;139;TANZANIA;30988
2021;06;139;TANZANIA;18500
2021;11;139;TANZANIA;7339380.13
2022;05;139;TANZANIA;12875356.18
2022;11;139;TANZANIA;690424.03
2021;12;139;TANZANIA;8355577.21
2021;08;139;TANZANIA;56172.02
2022;02;139;TANZANIA;7173960
2022;08;139;TANZANIA;79884.23
2021;09;139;TANZANIA;74641.96
2022;07;139;TANZANIA;125972.78
2021;07;140;TOGO;93750
2022;01;140;TOGO;3414120
2021;02;140;TOGO;941944.54
2021;09;140;TOGO;7685920.91
2021;03;140;TOGO;14400
2022;09;140;TOGO;82173.08
2022;08;140;TOGO;56000
2022;07;140;TOGO;3022500
2021;06;140;TOGO;20837022.21
2022;11;140;TOGO;95224.58
2022;10;140;TOGO;98575.57
2022;04;140;TOGO;653059.2
2022;03;140;TOGO;3011862
2021;11;140;TOGO;83270
2021;04;140;TOGO;21600
2021;05;140;TOGO;29380
2021;12;140;TOGO;122031
2021;01;140;TOGO;14400
2021;10;140;TOGO;32200
2022;02;140;TOGO;146150
2021;08;140;TOGO;48000
2021;12;141;TUNEZ;5312329.09
2022;01;141;TUNEZ;878551.97
2022;04;141;TUNEZ;18496619.07
2021;10;141;TUNEZ;8687499.05
2022;10;141;TUNEZ;16764515.44
2021;06;141;TUNEZ;19799106.27
2021;01;141;TUNEZ;1197457.81
2022;05;141;TUNEZ;43401692.57
2021;05;141;TUNEZ;45123581.63
2021;04;141;TUNEZ;19155357.19
2021;02;141;TUNEZ;9864741.3
2021;08;141;TUNEZ;6211258.2
2022;09;141;TUNEZ;2152015.41
2022;08;141;TUNEZ;17650637.08
2021;03;141;TUNEZ;13868283.46
2021;09;141;TUNEZ;20921741.48
2022;03;141;TUNEZ;26039629.66
2021;07;141;TUNEZ;8703438.55
2022;11;141;TUNEZ;2711086.07
2021;11;141;TUNEZ;11714817.93
2022;02;141;TUNEZ;30752229.75
2022;07;141;TUNEZ;17519664.93
2022;06;141;TUNEZ;21058466.41
2021;04;142;UGANDA;13725
2022;08;142;UGANDA;45690
2022;01;142;UGANDA;15886099.07
2022;11;142;UGANDA;17292.63
2021;08;142;UGANDA;86004.91
2021;09;142;UGANDA;54857.5
2021;02;142;UGANDA;16065477.87
2021;11;142;UGANDA;5088874.56
2022;07;142;UGANDA;30308.7
2022;04;142;UGANDA;8060727.1
2021;03;142;UGANDA;5047540
2021;07;142;UGANDA;31978.65
2022;09;142;UGANDA;33788.01
2022;03;142;UGANDA;7175487.89
2021;12;142;UGANDA;22004259.8
2022;05;142;UGANDA;731655.05
2021;01;142;UGANDA;14972122.52
2022;10;142;UGANDA;47008
2021;05;142;UGANDA;74420
2021;06;142;UGANDA;9243.2
